ai4good buildout burn report - 2026-08-11 - 924 transcript file(s), sessions and agents
units: provider-echoed tokens per response (REQ-034 model); money lives elsewhere
attribution DERIVED from each record's own git branch, and from the spawn tree where the record names none; role DERIVED from the spawn call

== PER ITEM ==

Item                From   Responses OutputTok InputTok  CacheRead CacheWrite
AI4DEV-5  general-purpose          372      869    163415  37946800    4046514
AI4DEV-57 orchestrator-opus        734    70926    437637  85972828    6003413
AI4DEV-57 executor                 373      741    183304  69771730    1195985
AI4DEV-57 coordinator              112      209    129511  92395430    2560075
AI4DEV-57 conductor                187      374     52711  18850995    5495416
AI4DEV-57 Explore                  132    42559     49671  11517666    1080647
AI4DEV-57 distiller                 32       64     23775   1247234     320545
AI4DEV-57 mechanical                87      174     18450   3237596     545327
AI4DEV-57 claude-code-guide         22      182      4183    773962     273640
AI4DEV-58 orchestrator             361     9709    210928  31261988    3325909
AI4DEV-58 executor                 364    15489    168427  55409892    1451600
AI4DEV-58 coordinator               52      100     25946  12928000    1638153
AI4DEV-58 conductor                195      390     25944  17756968    1836320
AI4DEV-58 reviewer-runner          103      206     15488   5062726     898623
AI4DEV-58 distiller                 10       20      2865    287707     116770
AI4DEV-58 mechanical                21       42      2826    539355     231289
AI4DEV-59 orchestrator             422    73016    283240  37798075    3966392
AI4DEV-59 executor                 397      782    150280  47953252    1176134
AI4DEV-59 coordinator               79      154     53579  34321524      76557
AI4DEV-59 reviewer-runner          264      528     45065  15727202    2045334
AI4DEV-59 conductor                279      558     39668  26551615    4102115
AI4DEV-59 mechanical                22       44      2735    579080     220994
AI4DEV-6  general-purpose          375      750    192643  66826259    4431848
AI4DEV-6  coordinator              186      356    151646  62685082    4501746
AI4DEV-6  codex:codex-rescue        24       46     13678    564743     102276
AI4DEV-60 orchestrator             493    19562    285967  58579628    5811374
AI4DEV-60 executor                 438    17421    217633  74844214    2509778
AI4DEV-60 coordinator               69      135     61219  40379637    1354258
AI4DEV-60 reviewer-runner          182      364     31835  10827192    1031380
AI4DEV-60 conductor                103      206     23750   6052603    1613868
AI4DEV-60 distiller                 13       26      6742    346368     209638
AI4DEV-60 mechanical                19       38      3399    511420     186803
AI4DEV-79 orchestrator             587    14108    367970  57445165    5885351
AI4DEV-79 executor                 712     1410    314548 107399784    2280001
AI4DEV-79 reviewer-runner          280      622     51296  16472902    1835876
AI4DEV-79 conductor                292      584     50889  30988351    4329956
AI4DEV-79 coordinator               36       70     28245  19829323      57290
AI4DEV-79 mechanical                13       26      1830    251066     217504
AI4DEV-79 general-purpose           15       30      1110    536209     117717
AI4DEV-80 orchestrator             347      677    239126  33398664    3623827
AI4DEV-80 executor                 278    12564    168984  31239432    1332000
AI4DEV-80 coordinator               62      122     54366  42381700    1384930
AI4DEV-80 conductor                207      414     39122  17426976    3385637
AI4DEV-80 reviewer-runner          191      382     37974  10686918    1378500
AI4DEV-80 claude-code-guide         19     1811      4198    387367     181067
AI4DEV-80 distiller                  8       16      2007    192849     135253
AI4DEV-80 mechanical                 4        8       831    106134      38850
AI4DEV-98 general-purpose           29      102      4036   1084605     141394
AI4DEV-98 coordinator                3        6      2085   1645533      12675
AI4DEV-99 general-purpose           18      144      2071    595888       5150
AI4DEV-99 coordinator                1        2       585    531642       1132



InputTok is nearly always tiny next to CacheRead: almost everything an agent reads arrives from cache, so input alone understates what was consumed by orders of magnitude.

== REVIEWER SPEND (codex, joined by the session id in each item's committed logs) ==

Item      Runs InputTok OutputTok CachedIn
----      ---- -------- --------- --------
AI4DEV-59    4  3739677     49623  3540480
AI4DEV-31    3 14493459     46615 13959424
AI4DEV-80    3   988912     44934   893952
AI4DEV-60    3  2898056     36191  2672896
AI4DEV-20    5  4671486     32167  4422400
AI4DEV-79    3  1651358     30573  1554176
AI4DEV-58    4  2064234     29835  1913600




== REVIEWER SPEND (kimi, joined by the launching agent id in its session directory) ==

Item      Sessions InputTok OutputTok CacheRead
----      -------- -------- --------- ---------
AI4DEV-57        2   159005     38853   1174272
AI4DEV-31        1   102103     31128   3808256
AI4DEV-19        1   170436     22725   1513728
AI4DEV-21        1   215267     22133   1766144
AI4DEV-20        1    81934     20301   1127680
AI4DEV-5         1    49969     19170    584704
AI4DEV-48        1    73965     18770    695552




== ROLLED UP THE CHAIN (each node includes everything beneath it) ==

Node               Covers Responses OutputTok
----               ------ --------- ---------
AI4DEV-3                6      6477   2822906
AI4DEV-50               4      5565   2556778
AI4PM-19                4      5565   2556778
~bringup                6      5095   2399099
(chain not cached)     11      1921   1553165
AI4DEV-51               2      2785   1351666
AI4DEV-52               2      2780   1205112
AI4DEV-57               1      1679    899242
AI4DEV-79               1      1935    815888
AI4DEV-60               1      1317    630545
AI4DEV-4                3      1187    618648
AI4DEV-48               1      1391    616849
AI4DEV-59               1      1463    574567
AI4DEV-80               1      1116    546608
AI4DEV-31               1      1237    493776
AI4DEV-58               1      1106    452424
AI4DEV-5                1       553    392081
AI4DEV-21               1       648    370084
AI4DEV-19               1       897    363857
AI4DEV-6                1       585    357967
AI4DEV-43               1       254    353306
AI4DEV-20               1       588    341075
AI4DEV-47               1       221    273400
AI4DEV-22               1       369    162452
AI4DEV-44               1       124    112453
AI4DEV-23               1        53     53468
AI4DEV-36               1        49     47058
AI4DEV-14               1         8     16528
AI4DEV-2                1        15     11209
AI4DEV-98               1        32      6121
AI4DEV-99               1        19      2656



TOTAL: 49336 responses, 50080087 output tokens. The PER ITEM table reconciles to this total by construction; the rollup deliberately double-counts, because a parent includes its children.
COORDINATOR SIGNAL - unattributed share of output tokens: 67.5%

Still a FLOOR, for named reasons. A nested sitting no longer falls to unattributed: that gap is closed, because the agent transcripts are now scanned and an agent that resolves no item of its own inherits its nearest ancestor's item. What remains:
  - Coordinator work on main that holds no item resolves to nothing, and neither do the agents beneath it: the tree has no item to hand down.
  - 2 agent transcript(s) name TWO OR MORE items in their own records. Their branchless responses stay unattributed rather than being guessed, and their vendor spend stays unjoined for the same reason.
  - 0 agent transcript(s) have no meta file beside them, so their role reads "unmarked agent" and they build no edge.
  - Reviewer spend is only partly joined. The codex and kimi tables above cover the runs whose logs this repository holds. The flash and opencode reviewer spend is not joined at all; that work is filed separately and is not built here.
  - A -Days window that excludes an ancestor transcript loses the item that ancestor would have handed down. The default, all history, has no such gap.
